ID,locale,name,description
f5866e47-61e0-490c-86e5-541ccece42e2,es,Smartphone,Último smartphone Android
f5866e47-61e0-490c-86e5-541ccece42e2,en,Smartphone,Latest Android smartphone
2d450230-9a79-43bc-87cb-494405c6eddc,es,Camiseta,Camiseta de algodón para el verano
2d450230-9a79-43bc-87cb-494405c6eddc,en,T-Shirt,Cotton T-shirt for summer
bf1b713b-dcf2-4f90-9978-4d0fbd8330dc,es,Libro,Novela de ciencia ficción
bf1b713b-dcf2-4f90-9978-4d0fbd8330dc,en,Book,Science fiction novel
d248d1f9-4298-412d-ad7c-738341f18ac7,es,Licuadora,Licuadora de cocina de múltiples velocidades
d248d1f9-4298-412d-ad7c-738341f18ac7,en,Blender,Multi-speed kitchen blender
10ae4ed7-5fd9-4f30-91e8-b6b25120364e,es,Portátil,Portátil ligero y potente
10ae4ed7-5fd9-4f30-91e8-b6b25120364e,en,Laptop,Lightweight and powerful laptop
ecbce4d3-d2dc-4a7e-b330-dcc30987334d,es,Zapatillas,Zapatillas cómodas para correr
ecbce4d3-d2dc-4a7e-b330-dcc30987334d,en,Sneakers,Comfortable running shoes
b4b59eda-1528-4e8c-85d8-e82d0fc11460,es,Aspiradora,Aspiradora de alta succión
b4b59eda-1528-4e8c-85d8-e82d0fc11460,en,Vacuum Cleaner,High suction vacuum cleaner
0f398e5f-d6e0-41ce-9213-0bf70507f664,es,Lámpara de escritorio,Lámpara de escritorio ajustable LED
0f398e5f-d6e0-41ce-9213-0bf70507f664,en,Desk Lamp,LED adjustable desk lamp
1ca7a979-af14-4aae-9fbc-d10006891338,es,Chaqueta,Chaqueta impermeable de invierno
1ca7a979-af14-4aae-9fbc-d10006891338,en,Jacket,Waterproof winter jacket
747ebfdf-9dac-4832-8ae0-7f4880c51c10,es,Auriculares,Auriculares con cancelación de ruido
747ebfdf-9dac-4832-8ae0-7f4880c51c10,en,Headphones,Noise-cancelling over-ear headphones
028930ba-b252-49c1-b471-4ae242762087,es,Cafetera,Cafetera programable de goteo
028930ba-b252-49c1-b471-4ae242762087,en,Coffee Maker,Programmable drip coffee maker
01bd0fe6-0f08-4238-8892-eb2f76d74e5f,es,Mochila,Mochila de senderismo duradera
01bd0fe6-0f08-4238-8892-eb2f76d74e5f,en,Backpack,Durable hiking backpack
081d789c-1ab7-4a8d-9fee-47794eac81b0,es,Monitor,Monitor 4K de 27 pulgadas
081d789c-1ab7-4a8d-9fee-47794eac81b0,en,Monitor,27-inch 4K monitor
f618d9dc-748c-46e1-819e-9219c91df226,es,Teclado,Teclado mecánico para juegos
f618d9dc-748c-46e1-819e-9219c91df226,en,Keyboard,Mechanical gaming keyboard
642db9f2-d59e-4f77-adf0-c4e7d97dc647,es,Silla de oficina,Silla de oficina ergonómica de malla
642db9f2-d59e-4f77-adf0-c4e7d97dc647,en,Office Chair,Ergonomic mesh office chair
84559e56-7730-4b5e-a034-6932e36d2507,es,Tableta,Tableta Android de 10 pulgadas
84559e56-7730-4b5e-a034-6932e36d2507,en,Tablet,10-inch Android tablet
18f0a069-8cdb-4d03-9668-f2e3243485cf,es,Calcetines,Pack de 5 calcetines de algodón
18f0a069-8cdb-4d03-9668-f2e3243485cf,en,Socks,Pack of 5 cotton socks
1714abd0-460e-4998-940b-5a7ef349d924,es,Set de utensilios de cocina,Set de cocina antiadherente de 10 piezas
1714abd0-460e-4998-940b-5a7ef349d924,en,Cookware Set,Non-stick 10-piece cookware set
0efe119e-418a-431f-bfa3-94a98f66f71c,es,Reloj,Reloj inteligente con seguimiento de actividad
0efe119e-418a-431f-bfa3-94a98f66f71c,en,Watch,Smartwatch with fitness tracking
666df9b5-22eb-4462-82e4-833e94c13e68,es,Bombillas LED,Pack de 6 bombillas de bajo consumo
666df9b5-22eb-4462-82e4-833e94c13e68,en,LED Bulbs,Pack of 6 energy-saving bulbs
